ticker,company_name,ma_research_score,ma_rank,ma_band,portfolio_score,acquirability_score,market_data_confidence,integrity_diligence_score,execution_risk_score,leadership_risk_score,combined_diligence_risk,risk_coverage,confirmed_misconduct_count,confirmed_individual_finding_count,strategic_archetype,suggested_transaction_structure,decision_rule,primary_risk_drivers,interpretation
KURA,Kura Oncology Inc. Common Stock,81.61,20,high,76.03,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
EIKN,Eikon Therapeutics Inc. Common Stock,80.97,21,high,74.86,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
IKT,Inhibikase Therapeutics Inc. Common Stock,80.9,22,high,76.9,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
CRVS,Corvus Pharmaceuticals Inc. Common Stock,80.81,23,high,74.57,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
PHAT,Phathom Pharmaceuticals Inc. Common Stock,80.62,24,high,74.22,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
AGIO,Agios Pharmaceuticals Inc. Common Stock,80.55,25,high,79.54,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,80.17,26,high,78.86,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
DMAC,DiaMedica Therapeutics Inc. Common Stock,80.11,27,high,75.47,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
NTLA,Intellia Therapeutics Inc. Common Stock,80.11,28,high,73.28,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
PROK,ProKidney Corp. Class A Ordinary Shares,80.06,29,high,75.39,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
IMCR,Immunocore Holdings plc American Depositary Shares,79.85,30,high,76.46,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,79.73,31,high,73.7,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
OCS,Oculis Holding AG Ordinary shares,79.61,32,high,73.48,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
NUVB,Nuvation Bio Inc. Class A Common Stock,79.4,33,high,77.45,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
NKTR,Nektar Therapeutics  Common Stock,79.34,34,high,79.53,90.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
LYEL,Lyell Immunopharma Inc. Common Stock,79.2,35,high,71.64,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
TSHA,Taysha Gene Therapies Inc. Common Stock,78.93,36,high,73.32,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
TRVI,Trevi Therapeutics Inc. Common Stock,78.91,37,high,78.75,90.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
SVRA,Savara Inc. Common Stock,78.6,38,high,71.64,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
IMRX,Immuneering Corporation Class A Common Stock,78.52,39,high,70.4,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ACHV,Achieve Life Sciences Inc. Common Shares,78.46,40,high,72.47,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
AVIR,Atea Pharmaceuticals Inc. Common Stock,78.15,41,high,69.72,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
HRMY,Harmony Biosciences Holdings Inc. Common Stock,78.12,42,high,75.45,90.0,52.4,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ANNX,Annexon Inc. Common Stock,78.02,43,high,70.58,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,77.8,44,high,69.09,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
KOD,Kodiak Sciences Inc Common Stock,77.76,45,high,74.48,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,77.66,46,high,77.93,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
FDMT,4D Molecular Therapeutics Inc. Common Stock,77.64,47,high,68.79,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
VIR,Vir Biotechnology Inc. Common Stock,77.58,48,high,68.69,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
PBYI,Puma Biotechnology Inc Common Stock,77.53,49,high,69.7,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ETON,Eton Pharmaceuticals Inc. Common Stock,77.38,50,high,68.33,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
NMRA,Neumora Therapeutics Inc. Common Stock,77.36,51,high,70.47,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
SUPN,Supernus Pharmaceuticals Inc. Common Stock,77.33,52,high,77.33,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
DBVT,DBV Technologies S.A. American Depositary Shares,77.06,53,high,69.06,100.0,41.6,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
OGN,Organon & Co. Common Stock ,77.06,54,high,75.39,90.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
OLMA,Olema Pharmaceuticals Inc. Common Stock,77.03,55,high,68.78,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
IOVA,Iovance Biotherapeutics Inc. Common Stock,77.01,56,high,73.1,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
KNSA,Kiniksa Pharmaceuticals International plc Class A Ordinary Shares,76.99,57,high,75.26,90.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
KARD,Kardigan Inc. Common Stock,76.7,58,high,72.55,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
TARS,Tarsus Pharmaceuticals Inc. Common Stock,76.63,59,high,72.43,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
VCEL,Vericel Corporation Common Stock,76.53,60,high,73.32,90.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,76.48,61,high,66.69,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
MANE,Veradermics Incorporated Common Stock,76.41,62,high,72.02,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
KMDA,Kamada Ltd. Ordinary Shares,76.37,63,high,68.67,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ANIP,ANI Pharmaceuticals Inc.,76.27,64,high,69.94,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,76.24,65,high,81.53,72.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ALKS,Alkermes plc Ordinary Shares,76.1,66,high,84.91,72.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
STOK,Stoke Therapeutics Inc. Common Stock,75.94,67,high,66.81,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
CABA,Cabaletta Bio Inc. Common Stock,75.79,68,high,65.43,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
PVLA,Palvella Therapeutics Inc. Common Stock,75.73,69,high,71.87,90.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
LKFT,Lakefront Biotherapeutics American Depositary Shares,75.48,70,high,66.06,100.0,42.8,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
VKTX,Viking Therapeutics Inc. Common Stock,75.47,71,high,72.49,90.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ZBIO,Zenas BioPharma Inc. Common Stock,75.43,72,high,66.08,100.0,41.6,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
DFTX,Definium Therapeutics Inc. Common Shares,75.36,73,high,71.42,90.0,41.6,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
DYN,Dyne Therapeutics Inc. Common Stock,75.29,74,high,69.99,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
